// common pharses when meeting someone
who is it?						chi e\?
is anybody there?				c'e\ qualcuno?
are you Miss Maria?	(formal)	e\ Lei la signora Maria?
I am Jack						io sono Jack
welcome							benvenuto
it's nice here					e\ bello qui
these are Amy, Ben, and Cat		questi sono Amy, Ben, e Cat
here's the room					ecco la stanza
for the boys					per i regazzi
how many suitcases do you have?	quante valigie hai?
leave me alone, please			lasciami in pace, per favore
the computer is ready			il computer e\ pronto
pay attention					vuoi stare attenta
hello (on the phone)			pronto
I'll be right there				arrivo subito
oh, come on						ma dai
I don't know					non lo so
come							vieni
this way						da questa parte
first							prima
you (pl.) are very nice			siete molto gentili
cheers!							cin, cin!
