// 1/3

peach 		la pesca

// pics
screen/monitor			lo schermo
cellphone				il cellulare
mouse					il mouse
keyboard				la tastiera
speakers				gli altoparlanti
printer					la stampante
television				il televisore
tv remote				il telecomando
DVR						il (registratore) DVR
the telephone rings		il telefono squilla

// using tech
to turn on				accendere
to erase				cancellare
to charge; to load		caricare
to start				cominciare
to dial (a number)		comporre (special conj.)
to be connected			essere connesso/a
to be online			essere online
to text (or send one)	mandare un messaggio
profile					il profilo
to work, to function	funzionare
to record				registrare
to save					salvare
to download				scaricare
to turn off				spegnere
to print				stampare

// tech terms
application; app		l'applicazione; la app
earbuds					gli auricolari
(tv) channel			il canale (televisivo)
charger					il caricabatteria
folder					la cartella
laptop (computer)		il (computer) portatile
document				il documento
email msg				l'e-mail (f.)
(digital) camera		la macchina fotografica (digitale)
text msg				il messaggio; l'SMS
microphone				il microfono
password				la password
program					il programma
network/internet		la rete
website					il sito Internet
smartphone				lo smartphone
stereo system			lo stereo
video game				il videogioco
