// some
di + il			del
di + la			della
di + l'			dell'
di + lo			dello

di + i			dei
di + gli		degli
di + le			delle

some/any							di (with definite article)
for uncountable, use di with		singular form

// amounts
a little bit of			un po' di
some (countable pl.)	alcuni/e
some (countable sing.)	qualche

// adj of quantity
a lot, many				molto
little (not much)		poco
too much/many			troppo
so much/many			tanto
all (of something)		tutto (use definite article after!)

kilo		chilo
100 grams	etto
slice		fetta
a ton of	un sacco di (invariable)
