// pp 302-303

// expressions
tomorrow				domani
day after tomorrow		dopodomani

in two days				fra/tra due giorni
in a week				fra/tra una settimana
in three years			fra/tra tre anni

in a little while		fra/tra poco
in the future			in futuro

next week				la settimana prossima
next month				il mese prossimo
next year				l'anno prossimo

soon					presto
this weekend			questo weekend

// adverbs (use future tense for both parts of sentence)
as soon as			appena
when				quando
se					if


// use future essere (sar-) to express "probably, might, must, could" -- actually refers to present
// present tense can be used for very near future for events that definitely take place
