// pp. 362
// in vacanza

// airport
at the airport			in aeroporto
arrivals				gli arrivi
ID						la carta d'identita\
tourist/economy class	la classe turistica/economica
first class				la prima classe
passport control		il controllo passaporti
customs					la dogana
passenger				il passeggero
departures				le partenze
delay					il ritardo (in ritardo -- delayed, adj.)
visa					il visto
flight					il volo
round-trip				andata e ritorno
on-time					puntuale
abroad					all'estero
(location) national		nazionale

// vacations
vacations				le vacanze
cruise					la crociera
public holiday			il giorno festivo
ski vacation			la settimana bianca
resort					il villaggio turistico
to take a long weekend	fare il ponte
to pack a suitcase		fare le valigie

// lodgings
lodgings				gli alloggi
(five-star) hotel		l'albergo (a cinque stelle)
elevator				l'ascensore (m.)
key						la chiave
customer, client		il/la cliente
youth hostel			l'ostello della gioventu\

small hotel; boarding house		la pensione

vacancy					il posto disponibile
room service			il servizio in camera
to cancel				disdire
to make a reservation	prenotare
full; no vacancies		al completo

// pics
the beach		la spiaggia
the sea			il mare

the exit		l'uscita

travelers		i viaggiatori
newspaper		il giornale
carry-on bag	il bagaglio a mano

boarding pass	la carta d'imbarco
travel agent	l'agente di viaggio

airplane				l'aereo (m.)
to arrive (airplane)	atterrare
to depart (airplane)	decollare

to leave for vacation		partire per le vacanze
to tan						abbronzarsi
to read the map				leggere la mappa
to queue; to go in line		fare la fila
